A.+Bogdan A.C.+Dragodan
Anca+Hirschpek Anca+Elisei
Anca+Margareta+Costache Anca+Margaritescu
Anca+Margaritescu Anca+Maria+Morcovescu
Anca+Maria+Morcovescu Ana+Maria+Murzea
Anca+Mihai Angela+Mihai
Anca+Pepelea Ana+Ple%BAa
Anca+Roxana+Constantin Nicoleta+Constantin
Anca+%AAerban Diana+%AAerban
Anca+Todor Ena+Bodor
Anca+Zubascu Anca+Margaritescu
Anca-Denisa+Moro%BAan Valeria+Moro%BAan
Anca-Iulia+Beidac Anca-Maria+David
Anca-Maria+David Ana-Maria+Dinu
Ancelin+Roseti Alain+Bosquet
Ancu%FEa+Morar Ionu%FE+Borza
Andra+Diaconu Teodora+Diaconu
Andra+Ologeanu Adrian+Olteanu
Andra+Popescu Adriana+Popescu
Andrada+Br%EEndu%BAa+Keszeg Merutiu+Br%EEndu%BAa+Maria
Andrada+Ianosi Andrada+Lupean
Andrada+Lupean Andrada+Ianosi
Andrada+Simion Alexandru+Simion
Andre+Cruchaga Andrei+Ciurunga
Andrea+Cohen Andreea+Coman
Andrea+Kasznel Andreea+Coman
Andreas+Doroban%FEu Andreea+Moldovan
Andreea+Brigitte+Erdei Andreea+Maftei
Andreea+Buzuriu Andreea+P%E2nzariu
Andreea+Catalina Andreea+Coman
Andreea+Claudia+Perdaica Florina+Claudia+Tuica
Andreea+Coman Andreea+Ion
Andreea+Gabriela+B%E3ncil%E3 Andreea+Galb%EEn
Andreea+Galb%EEn Andreea+Giosanu
Andreea+Giosanu Andreea+Coman
Andreea+Ion Andreea+Coman
Andreea+Maftei Andreea+Muntean
Andreea+Maria+Ghetu Andrei+Horia+Gheorghiu
Andreea+Moldovan Andreea+Molnar
Andreea+Molnar Andreea+Ion
Andreea+Muntean Adrian+Munteanu
Andreea+Necula Andrei+Neculaesei
Andreea+Nemerovschi Andreea+Popovici
Andreea+Palasescu Andra+Popescu
Andreea+P%E2nzariu Andreea+Buzuriu
Andreea+Popovici Alexandra+Popovici
Andreea+V%E3duva Olga+V%E3duva
Andreea-Geanina+Panzariu Andreea+P%E2nzariu
Andrei+Aurel+Stomff Andrei+Forte
Andrei+Badea Andrei+Bledea
Andrei+Bledea Andrei+Badea
Andrei+C%E3lim%E3rea Adrian+Andrei+C%E3lim%E3rea
Andrei+Ciurunga Andrei+Cucu
Andrei+Cucerzan Andrei+Lucian
Andrei+Cucu Andrei+Lupu
Andrei+Forte Andrei+Tudora
Andrei+G%E3d%E3lean Andrei+Ghejan
Andrei+Ghejan Andrei+Ghita
Andrei+Ghita Andrei+Ghejan
Andrei+Horia+Gheorghiu Adriana+Gheorghie
Andrei+Ilie+B%E3l%E3%BAoiu Cristina+Mariana+B%E3l%E3%BAoiu
Andrei+Ionut+Sava Andreea+Ion
Andrei+Langa Andrei+Lucian
Andrei+Lucian Andrei+Langa
Andrei+Lupu Andrei+Cucu
Andrei+Mure%BAanu Adrian+Moro%BAan
Andrei+Neculaesei Andreea+Necula
Andrei+Pavel Andrei+Rafael
Andrei+Rafael Andrei+Pavel
Andrei+%AA.L.+Evelin Andrei+Pavel
Andrei+Sulugiuc Andrei+Surugiu
Andrei+Surugiu Andrei+Sulugiuc
Andrei+Tudora Any+Tudoran
Andrei+%DEurcanu Andrei+Lucian
Andrei+Vame%BA Andrei+Mure%BAanu
Andrei+Velea Andrei+Bledea
Andrei+Vernacum Andrei+Velea
Andu+Tugui Andrei+Surugiu
Andy+Buruian%E3 Angela+Furtun%E3
Ane-Mari+Vrapciu Ana+Maria+Zaiu
Aneta+Edita+Sarkozi Aneta+Pioara
Aneta+Pioara Ana+Podaru
Aneta+Timplaru+Horghidan Alexandru+Horghidan
Angela+Erizanu Angela+Marinescu
Angela+Furtun%E3 Horia+Furtun%E3
Angela+Guo Angelica+Grecu
Angela+Ion+Pistol Angelica+Ioanovici
Angela+Irina+Ghintuial%E3 Angela+Furtun%E3
Angela+Marinescu Simona+Marinescu
Angela+Mihai Anca+Mihai
Angelica+Grecu Angela+Guo
Angelica+Ioanovici Anna+Panovici
Angelin+Leru Anghelina+Tiberiu
Angelina+N%E3dejde Alina+Neagoe
Anghel+Geicu Angelica+Grecu
Anghel-Alexandru+Ghenea Alexandru+Raneta
Anghelina+Tiberiu Angelin+Leru
Angi+Melania+Cristea Adriana+Cristea
Aniela+Ungureanu Ica+Ungureanu
Anisia+Madalina+Sara+Trandafir Marius+Trandafir
Ani%BAoara+Iordache Diana+Iordache
Ani%FEa+Vulcan+Grigoriu Mihaela+Grigoroiu
Anjandev+Roy Anne+Boleyn
Anna+Ahmatova Anna+Panovici
Anna+Br%E2ncoveanu+de+Noailles Anna+Br%E2ncoveanu+de+Noilles
Anna+Br%E2ncoveanu+de+Noilles Anna+Br%E2ncoveanu+de+Noailles
Anna+de+Noailles Anna+Br%E2ncoveanu+de+Noailles
Anna+Grig Ana+Urma
Anna+Magdalena+Mroz Magdalena+Rosca
Anna+Panovici Angelica+Ioanovici
Anna+Swirszczynska Anca+Hirschpek
Anna-Nora+Rotaru Leonard+Rotaru
Anne+Boleyn Anne+Sexton
Anne+Marie+Bejliu Ana+Maria+Zaiu
Anne+Sexton Aaron+Stone
Anonim+SUA Antonina+Sebesta
Antara+Ibn+Shaddad Andrei+Ionut+Sava
Antoine+Cassar Antoine+Heroet
Antoine+Heroet Antoine+Cassar
Anton+Bacalba%BAa Ana+Ple%BAa
Anton+Stanciu Argentina+Stanciu
Anton+Wildgans Anton+Stanciu
Antonela+Stoica Amalia+Stoica
Antoni+Slonimski Anton+Stanciu
Antonia-Luiza+Zavalic Irimia-Lucian+David
Antonina+Sebesta Antoine+Heroet
Antonio+Ciprian+Corneanu Ioan+Ciprian+Moro%BAanu
Antonio+Machado Antonio+Mihai+Van%FE
Antonio+Mihai+Van%FE Antonio+Machado
Any+Dr%E3goianu Ion+Dr%E3goianu
Any+Tudoran Andrei+Tudora
Apollon+Maikov Alin+Mercasi
Archibald+MacLeish Archibald+MacLeish%2C1892-1982
Archibald+MacLeish%2C1892-1982 Archibald+MacLeish
Argentina+Stanciu Adina+Stanciu
Ariana+Perhald Adriana+Petre
Ariana+Zburlea Adriana+Cristea
Ariette+Pescarus Afrodita+Popescu
Aron+Cotru%BA Ion+Rotaru
Arpad+Toth Adrian+Timofte
Arseny+Tarkovsky Jan+Twardowski
Arthur+Gordon Arthur+Guiterman
Arthur+Guiterman Arthur+Gordon
Arthur+Hugh+Clough Arthur+Hugh+Clough%2C1819-1861
Arthur+Hugh+Clough%2C1819-1861 Arthur+Hugh+Clough
Arthur+Porumboiu Arthur+Gordon
Arthur+Rimbaud Arthur+Guiterman
Arthur+William+Edgar+O%27Shaughnessy William+Ernest+Henley
Artur+En%E3%BAescu Aurel+St%E3nescu
Artur+Lundkvist Artur+Stavri
Artur+Stavri Arthur+Guiterman
Arun+Kumar Miruna+Dima
Ashley+Peter+Loasby Vasile+Petre+Fati
Astrid+Cabral Alin+Caras
Atticus Ariette+Pescarus
Attilio+Bertolucci Otilia+Biriuc
Augustin+Constantin Rusu+Constantin
Augustin+Enescu Augustin+Jianu
Augustin+Georgiu Augustin+Jianu
Augustin+Jianu Augustin+Enescu
Aura+Georgescu Aurora+Georgescu
Aura+Popa Dan+Popa
Aurel+Anghel Gabriel+Anghel
Aurel+Avram+St%E3nescu Aurel+St%E3nescu
Aurel+Baranga Aurel+Rapa
Aurel+Cehan Aurel+Chiorean
Aurel+Chiorean Auurel+Chiorean
Aurel+Dumitra%BAcu Dan+Dumitra%BAc
Aurel+Ifteni Aurel+Cehan
Aurel+Pastramagiu Aurel+Baranga
Aurel+Petre George+Petre
Aurel+Rapa Aurel+Baranga
Aurel+Simionescu Aurel+St%E3nescu
Aurel+St%E3nescu Aurel+Avram+St%E3nescu
Aurel+%AAtefan+Dr%E3gan Agafia+Dr%E3gan
Aurelia+Georgeta+Muntean Andreea+Muntean
Aurelia+Oanc%E3 Aurelian+Nicolaic%E3
Aurelia+Panait Aurelia+Tarniceri
Aurelia+R%E2njea Aurelia+Panait
Aurelia+Tarniceri Aurelia+Panait
Aurelian+Nicolaic%E3 Aurelia+Oanc%E3
Aurelian+Silvestru Aurel+Simionescu
Aurora+Bahan Aurora+Luchian
Aurora+Georgescu Aura+Georgescu
Aurora+Luchian Aurora+Bahan
Aurora+Neagu Aurora+Georgescu
Autor+necunoscut+%96+India%3F Autor+necunoscut+%96+SUA
Autor+necunoscut+%96+Marea+Britanie Autor+necunoscut+%96+SUA
Autor+necunoscut+%96+SUA Autor+necunoscut-SUA
Autor+necunoscut-Anglia Autor+necunoscut-SUA
Autor+necunoscut-SUA Autor+necunoscut-USA
Autor+necunoscut-USA Autor+necunoscut-SUA
Auurel+Chiorean Aurel+Chiorean
Ayan+Schwartzenberg Adrian+Artene
Bachin+Deian Boris+Vian
Bai+Juyi Bo+Juyi
Bai+Juyi%2C772-846 Bai+Juyi
Barbara+Gruszka-Zych Barbara+Solarska
Barbara+Jurkowska Barbara+Solarska
Barbara+Solarska Barbara+Jurkowska
Barbu+Paris+Mumuleanu Gabriela+Munteanu
Bartolomeu+Anania Marilena+Mihai
Barzin+Vlada Marin+Rada
Bazil+Gruia Bai+Juyi
Beata+Kepinska Beau+Taplin
Beatrice+Ravenel%2C1870-1956 Max+Ehrmann%2C1872-1945
Beatrice+Silvia+Sorescu Marin+Sorescu
Beatrice+Vaisman Boris+Vian
Beau+Taplin Dina+Calin
Bebe+Bocic%E3 Janet+Nic%E3
Beddoes%2C+Thomas+Lovell Thomas+Love+Peacock
Belen+Aguilar+Salas Ana+Maria+Balas
Bella+Ahmadulina Camelia+Radulian
Ben+E.+King%2C+Jerry+Leiber+%BAi+Mike+Stoller Ion+Ene+Meteleu
Benedykt+Koziel Venedikt+Erofeev
Benjamin+Fondane La+Fontaine
Benjamin+Franklin%2C+1706-1790 Benjamin+Franklin%2C1706-1790
Benjamin+Franklin%2C1706-1790 Benjamin+Franklin%2C+1706-1790
Benone+Burtescu Geo+Dumitrescu
Benoni+Catan%E3 Ion+Calot%E3
Bernadeta+Krawiec Benedykt+Koziel
Bernard+Mazo Bernard+Snyder
Bernard+Snyder Leonard+Sandor
Bertolt+Brecht Robert+Botsch
Bertoni+D.+Albert Petronius+Arbiter
Besliu+Elena-1977 Georgescu+Elena
Bessie+A.+Stanley Gheorghe+A.+Stroia
Bianca+Avr%E3mic%E3 Bianca+Cr%E3ciun
Bianca+C.+Dan Bianca+Goean
Bianca+Cr%E3ciun Ioana+Cr%E3ciunescu
Bianca+Goean Bianca+C.+Dan
Bianca+Marc Bianca+Marcovici
Bianca+Marcovici Bianca+Marc
Bianca+Porutiu Bianca+Cr%E3ciun
Bianca+Vilcu Bianca+Marc
Bianca-Alina+Luchescu Dana+Alina+Ofiterescu
Biba+Ismail Diana+Cosma
Bliss+Carman Alin+Caras
Bo+Juyi Bai+Juyi
Bob+Dylan Petros+Duryan
Bob+Moorehead Ion+Horea
Boccaccio Bianca+Marcovici
Bogdan+Al.+Geana Bogdan+Manea
Bogdan+Caraiman Ion+Caraion
Bogdan+Constantin+Proca Dan+Constantin+Muresan
Bogdan+Cristea Loredana+Cristea
Bogdan+Dragomir Monica+Dragomir
Bogdan+Ion Bogdan+Manea
Bogdan+Manea Bogdan+Ion
Bogdan+Marcel+Hirja Bogdan+Manea
Bogdan+Nicolae+Groza Nicoara+Nicolae+Horia
Bogdan+O.+Popescu Ioan+Popescu
Bogdan+Petriceicu+Hasdeu Bogdan+Marcel+Hirja
Bogdan+Romanescu Ioanid+Romanescu
Bogdan+Stav%E3r Bogdan+Cristea
Bogdan-Gabriel+Alexe Adrian-Gabriel+Bradu
Bombonica+Curelciuc Viorica+Clinciu
Bordian+Cristin Ioan+Cristian
Bori+Marian+Mehr Boris+Marian+Mehr
Borids+Marian+Mehr Boris+Marian+Mehr
Boriis+Marian+Mehr Boris+Marian+Mehr
Boris+Ioachim Florin+Iordache
Boris+Maria+Mehr Boris+Marian+Mehr
Boris+Marian+Mehr Borids+Marian+Mehr
Boris+Mariasn+Mehr Boris+Marian+Mehr
Boris+Mrian+Mehr Boris+Marian+Mehr
Boris+Pasternak Brian+Patten
Boris+Vian Boris+Mrian+Mehr
Boros+Otto Cristina+Ott
Boruis+Marian+Mehr Boris+Marian+Mehr
Brandon+Sanderson Bernard+Snyder
Brandon+Villasenor Brandon+Sanderson
Brantome Brian+Patten
Brian+McGackin Brian+McGackin%2C
Brian+McGackin%2C Brian+McGackin
Brian+Patten Boris+Pasternak
Bruce+B.+Wilmer Joyce+Kilmer
Bucur+Marius+Ovidiu Marius+Paveliuc
Bujor+Voinea Ion+Vinea
Burtchaell%2C+Clara+G. Aurel+Baranga
Byron Emil+Boyson
C.A.+Rosetti Radu+D.+Rosetti
C.P.+Cavafy Constantine+P.+Cavafy
Caitlyn+Siehl Costyn+Gilca
